agency_id,agency_name,agency_url,agency_timezone
1,"17 DE AGOSTO S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
2,"4 DE SEPTIEMBRE S.A.T.C.P.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
3,"ALMAFUERTE S.A.T.A.C.I.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
4,"AZUL S.A.T.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
5,"BERNARDINO RIVADAVIA S.A.T.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
6,"BUENOS AIRES BUS S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
7,"BUS DEL OESTE S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
8,"CARDENAS S.A. EMPRESA DE TRANSPORTES","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
9,"COLECTIVEROS UNIDOS S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
10,"COMPAÑIA DE MICROOMNIBUS LA COLORADA S.A.C.I.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
11,"CONSULTORES ASOCIADOS ECOTRANS S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
12,"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
13,"D.U.V.I. S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
14,"EL NUEVO HALCON S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
15,"EL PUENTE S.A.T.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
16,"EMPRESA ANTARTIDA ARGENTINA S.A.T.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
17,"EMPRESA DE TRANSPORTES 104 S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
18,"EMPRESA DE TRANSPORTES AMERICA S.A.C.I.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
19,"EMPRESA DE TRANSPORTES MARIANO MORENO S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
20,"EMPRESA DE TRANSPORTES MICROOMNIBUS SAENZ PEÑA S.R","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
21,"EMPRESA DE TRANSPORTES PEDRO DE MENDOZA C.I.S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
22,"EMPRESA DE TRANSPORTES TENIENTE GENERAL ROCA S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
23,"EMPRESA LINEA 216 S.A. DE TRANSPORTE","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
24,"EMPRESA SAN VICENTE S.A.T.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
25,"EMPRESA TANDILENSE S.A.C.I.F.I. y de S.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
26,"EMPRESA TRANSPORTE AUTOMOTOR DE PASAJEROS S.A.C.I.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
27,"EXPRESO GENERAL SARMIENTO S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
28,"EXPRESO LOMAS S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
29,"EXPRESO QUILMES S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
30,"EXPRESO SAN ISIDRO S.A.T.C.I.F.I.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
95,"FERROVIAS S.A.C.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
31,"GENERAL PUEYRREDON S.A.T.C.I.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
32,"GENERAL TOMAS GUIDO S.A.C.I.F.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
33,"GRUPO LINEA 179 S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
34,"JUAN B. JUSTO S.A.T.C.I.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
35,"LA CABAÑA S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
36,"LA CENTRAL DE VICENTE LOPEZ S.A.C.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
37,"LA NUEVA METROPOL S.A.T.A.C.I.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
38,"LA VECINAL DE LA MATANZA S.A.C.I. DE MICROOMNIBUS","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
39,"LINEA 10 S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
40,"LINEA 17 S.A.","http://usig.buenosaires.gob.ar/","America/Argentina/Buenos_Aires"
