route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
22,70,"7","007","A - Laguna y Av.Directorio (Capital Federal) - Hospital Ferroviario (Capital Federal)",3
580,70,"7","007","A - Laguna y Av.Directorio (Capital Federal) - Hospital Ferroviario (Capital Federal)",3
23,70,"7","007","B - Fonrouge y Zelarrayan (Capital Federal) - Hospital Ferroviario (Capital Federal)",3
581,70,"7","007","B - Fonrouge y Zelarrayan (Capital Federal) - Hospital Ferroviario (Capital Federal)",3
26,39,"10","010","A - Palermo (Capital Federal) - Wilde (Pdo.de Avellaneda)",3
584,39,"10","010","A - Palermo (Capital Federal) - Wilde (Pdo.de Avellaneda)",3
56,81,"23","023","A - Barrio Pte.Rivadavia (Capital Federal) - Puerto Nuevo (Capital Federal)",3
614,81,"23","023","A - Barrio Pte.Rivadavia (Capital Federal) - Puerto Nuevo (Capital Federal)",3
60,1,"26","026","Barrio Rivadavia (Capital Federal) - Retiro (Capital Federal)",3
618,1,"26","026","Barrio Rivadavia (Capital Federal) - Retiro (Capital Federal)",3
106,75,"42","042","A - Pompeya (Cap.Fed.) - Ciudad Universitaria (Cap.Fed.) - por L.Lugones",3
665,75,"42","042","A - Pompeya (Cap.Fed.) - Ciudad Universitaria (Cap.Fed.) - por L.Lugones",3
107,75,"42","042","B - Pompeya (Cap.Fed.) - Ciudada Universitaria  (Cap.Fed.) - por La Pampa",3
666,75,"42","042","B - Pompeya (Cap.Fed.) - Ciudada Universitaria  (Cap.Fed.) - por La Pampa",3
108,75,"42","042","C-Cdad.Universitaria (Cap.Fed.)-Av.Acoyte y Av.Rivadavia (Cap.Fed.)",3
667,75,"42","042","C-Cdad.Universitaria (Cap.Fed.)-Av.Acoyte y Av.Rivadavia (Cap.Fed.)",3
109,75,"42","042","D-Cdad.Universitaria (Cap.Fed.)-Av.Acoyte y Av.Rivadavia (Cap.Fed.)",3
668,75,"42","042","D-Cdad.Universitaria (Cap.Fed.)-Av.Acoyte y Av.Rivadavia (Cap.Fed.)",3
110,12,"44","044","Nueva Pompeya (Capital Federal) - Estacion Belgrano (Capital Federal)",3
669,12,"44","044","Nueva Pompeya (Capital Federal) - Estacion Belgrano (Capital Federal)",3
111,50,"45","045","A - Ciudad Universitaria (Capital Federal) - Remedios de Escalada (Lanus)",3
670,50,"45","045","A - Ciudad Universitaria (Capital Federal) - Remedios de Escalada (Lanus)",3
112,50,"45","045","B - Hospital Ferroviario (Capital Federal) - Remedios de Escalada (Lanus)",3
671,50,"45","045","B - Hospital Ferroviario (Capital Federal) - Remedios de Escalada (Lanus)",3
113,50,"45","045","C - Ciudad Universitaria (Capital Federal) - Plaza Constitucion (Capital Federal)",3
672,50,"45","045","C - Ciudad Universitaria (Capital Federal) - Plaza Constitucion (Capital Federal)",3
