stop_id,stop_name,stop_lat,stop_lon,location_type
1,"LUGONES, LEOPOLDO AV.",-34.5356345225,-58.4623079147,0
3,"LUGONES, LEOPOLDO AV.",-34.5377998036,-58.4594436345,0
15,"LA PAMPA&&OBLIGADO RAFAEL, AV.COSTANERA",-34.5512838504,-58.4284824854,0
16,"OBLIGADO RAFAEL, AV.COSTANERA",-34.551970775,-58.4269039203,0
17,"OBLIGADO RAFAEL, AV.COSTANERA",-34.5522984052,-58.426026146,0
18,"OBLIGADO RAFAEL, AV.COSTANERA",-34.5531266677,-58.4235813045,0
19,"OBLIGADO RAFAEL, AV.COSTANERA",-34.556073854,-58.4137710275,0
20,"OBLIGADO RAFAEL, AV.COSTANERA",-34.5577324117,-58.411230357,0
23,"OBLIGADO RAFAEL, AV.COSTANERA",-34.5588220454,-58.4098376667,0
26,"3 DE FEBRERO&&JURAMENTO AV.",-34.5593296534,-58.452063224,0
32,"DONADO&&MERCADER, EMIR",-34.5618130544,-58.4839618074,0
33,"LORETO, VIRREY&&SOLDADO DE LA INDEPENDENCIA",-34.5623392917,-58.4428084002,0
35,"DEL LIBERTADOR AV.",-34.562439092,-58.4408594922,0
38,"BELLO, ANDRES&&FIGUEROA ALCORTA, PRES. AV.",-34.5626788553,-58.4233706726,0
39,"FIGUEROA ALCORTA, PRES. AV.&&NOBLE, JULIO ARGENTIN",-34.5620173243,-58.4239046433,0
40,"FIGUEROA ALCORTA, PRES. AV.&&PINEDO, INT.",-34.5640369406,-58.422602254,0
48,"COLOMBIA AV.&&SARMIENTO AV.",-34.577349401,-58.417270417,0
49,"CABELLO&&ZAZPE, VICENTE FAUSTINO MONSEÑOR",-34.5810031933,-58.4098198919,0
53,"ALVAREZ THOMAS AV.&&NEWBERY, JORGE AV.",-34.5814578896,-58.4484607092,0
61,"CALLAO AV.&&DEL LIBERTADOR AV.",-34.5865882532,-58.3858492913,0
66,"ANTARTIDA ARGENTINA AV.&&PERETTE, CARLOS H.",-34.5860519636,-58.372384952,0
68,"CHORROARIN AV.&&COMBATIENTES DE MALVINAS AV.",-34.5873836653,-58.4708532218,0
76,"DE LOS CONSTITUYENTES AV.&&VIRREYES",-34.5914686535,-58.4767282475,0
81,"HABANA&&SAN MARTIN AV.",-34.5934412311,-58.5062565889,0
102,"PUEYRREDON, HONORIO, DR. AV.&&WARNES AV.",-34.5984082824,-58.453688411,0
107,"JUSTO, JUAN B. AV.&&MARTINEZ ROSAS",-34.5985707441,-58.4498952218,0
112,"MOSCONI GENERAL AV.&&PAZ, GRAL. AV.",-34.5988566405,-58.5226265265,0
128,"ANTEZANA&&WARNES AV.",-34.6026657048,-58.441398348,0
129,"ARAOZ&&WARNES AV.",-34.6026310714,-58.4414823321,0
130,"GUTIERREZ, RICARDO&&PAZ, GRAL. AV.",-34.6028825398,-58.524494475,0
138,"AMBROSETTI, JUAN B.&&MARECHAL, LEOPOLDO",-34.6063544064,-58.4387317772,0
139,"LILLO AV.&&MARECHAL, LEOPOLDO",-34.6067354089,-58.4384384192,0
144,"DEALESSI, PIERINA&&VILLAFLOR, AZUCENA",-34.6119662346,-58.3637018895,0
166,"MARTINEZ, JUAN ESTEBAN&&NOGOYA",-34.6201360067,-58.5182932134,0
170,"LAVAYSSE, BENJAMIN J. (EX CORREA, BENITO) (NO OFIC",-34.6210689326,-58.3592904695,0
173,"ESPAÑA AV.",-34.6206972339,-58.3549171546,0
175,"JUSTO, JUAN B. AV.&&LAMARCA, EMILIO",-34.6228682876,-58.4818800244,0
176,"JUSTO, JUAN B. AV.&&SAN NICOLAS",-34.6234733857,-58.4826538427,0
179,"GONZALEZ, JOAQUIN V.&&JUSTO, JUAN B. AV.",-34.6240812959,-58.4834259691,0
186,"CAFFARENA, AGUSTIN R.&&DON PEDRO DE MENDOZA AV.",-34.6286514994,-58.3559800848,0
195,"DEFENSA&&GARCIA, MARTIN AV.",-34.6294922748,-58.3706622359,0
200,"JUSTO, JUAN B. AV.",-34.6315804898,-58.4994785445,0
201,"BRANDSEN&&DON PEDRO DE MENDOZA AV.",-34.6321082688,-58.3534987734,0
205,"CONCORDIA&&RIVADAVIA AV.",-34.6323156597,-58.4756545191,0
206,"LAMARCA, EMILIO&&RIVADAVIA AV.",-34.6325801242,-58.4767483299,0
208,"JUSTO, JUAN B. AV.&&LOPE DE VEGA",-34.6323635712,-58.5004988719,0
209,"BARADERO&&RIVADAVIA AV.",-34.6328450012,-58.4778439369,0
210,"ENSENADA&&RIVADAVIA AV.",-34.6331075455,-58.4789300934,0
212,"PERON, EVA AV.&&PRIMERA JUNTA",-34.6331512029,-58.4450948572,0
216,"BAHIA BLANCA&&RIVADAVIA AV.",-34.6334551731,-58.4803683155,0
217,"CHIVILCOY&&RIVADAVIA AV.",-34.6337792771,-58.4817092469,0
219,"FRAGUEIRO&&JUSTO, JUAN B. AV.",-34.6344698568,-58.5242979322,0
223,"JUSTO, JUAN B. AV.&&PAZ, GRAL. AV.",-34.6345439855,-58.5288301986,0
234,"DON PEDRO DE MENDOZA AV.&&RODRIGUEZ, MARTIN",-34.6389471489,-58.3584784806,0
235,"DON PEDRO DE MENDOZA AV.&&PALOS",-34.6389812385,-58.3603025802,0
236,"PAZ, GRAL. AV.&&RIVADAVIA AV.",-34.6393431332,-58.5287950345,0
245,"DON PEDRO DE MENDOZA AV.&&QUINQUELA MARTIN, BENITO",-34.6409488764,-58.3610746746,0
251,"DELLEPIANE, LUIS, TTE. GRAL.&&PERON, EVA AV.",-34.6440419572,-58.4631074261,0
259,"AUSTRALIA AV.&&PINEDO AV.",-34.6454245331,-58.3811841075,0
267,"ALCORTA, AMANCIO AV.",-34.6463075663,-58.4021633663,0
292,"CHAVEZ, JORGE&&PAZ, GRAL. AV.",-34.6501573656,-58.5284161466,0
293,"CHAVEZ, JORGE&&PAZ, GRAL. AV.",-34.6501499376,-58.5293287307,0
295,"MORENO, PERITO AV.&&SANTANDER",-34.6502061429,-58.4612448457,0
297,"ACOSTA, MARIANO&&MORENO, PERITO AV.",-34.6501563626,-58.4618598504,0
319,"PAZ, GRAL. AV.",-34.6566410718,-58.5253684359,0
320,"PAZ, GRAL. AV.",-34.6545046479,-58.5278321155,0
326,"ALBERDI, JUAN BAUTISTA AV.&&CARHUE",-34.6590353066,-58.5123223781,0
333,"MOZART&&SARAZA",-34.6605701725,-58.4674451706,0
336,"PAZ, GRAL. AV.",-34.6605059616,-58.5201788876,0
337,"PAZ, GRAL. AV.",-34.6582834317,-58.5231321862,0
348,"ARGENTINA AV.&&ZELARRAYAN",-34.672794979,-58.4779544817,0
349,"PAZ, GRAL. AV.",-34.6726194477,-58.5041108583,0
350,"PAZ, GRAL. AV.",-34.6709311036,-58.5063096704,0
354,"PAZ, GRAL. AV.&&SCAPINO, RODOLFO",-34.6767497428,-58.4979778633,0
355,"PAZ, GRAL. AV.",-34.6824374877,-58.4911502189,0
356,"PAZ, GRAL. AV.",-34.6783911953,-58.4964822522,0
361,"BERGANTIN GENERAL BALCARCE&&CAFAYATE",-34.6845876608,-58.4689466994,0
370,"PAZ, GRAL. AV.",-34.6941341258,-58.4756283107,0
382,"GALILEO&&LAS HERAS GENERAL AV.",-34.5859153575,-58.3989469681,0
395,"DE LA TORRE, LISANDRO AV.&&PUPILLO, LIBORIO, PASEO",-34.6624249942,-58.5003295376,0
401,"BASUALDO&&GARZON, EUGENIO, GRAL. AV.",-34.6532032723,-58.4879390861,0
404,"CORVALAN&&GARZON, EUGENIO, GRAL. AV.",-34.6545424332,-58.4895121984,0
405,"ALBARIÑO&&GARZON, EUGENIO, GRAL. AV.",-34.6552121187,-58.4902964108,0
406,"GARZON, EUGENIO, GRAL. AV.&&MIRALLA",-34.6558811113,-58.4910801326,0
465,"DE LOS INCAS AV.&&ESTOMBA",-34.576440359,-58.4658855515,0
471,"CORREGIDORES&&DE LOS INCAS AV.",-34.5720085707,-58.4602623425,0
473,"DE LOS INCAS AV.&&ZAPIOLA",-34.5705808203,-58.4587948427,0
475,"DEL LIBERTADOR AV.&&OLLEROS AV.",-34.5635606792,-58.436645909,0
512,"ASTURIAS AV.&&SANTIAGO DE COMPOSTELA AV.",-34.6572362808,-58.467350062,0
513,"MOZART&&SANTIAGO DE COMPOSTELA AV.",-34.6591036957,-58.4695556582,0
514,"ESCALADA AV.&&SARAZA",-34.6636519251,-58.4696413027,0
516,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL.&&ESCALADA AV.",-34.663155224,-58.4720261975,0
522,"ESCALADA AV.&&FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-34.6726630135,-58.4590584757,0
523,"ESCALADA AV.",-34.6697635294,-58.4628927797,0
526,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-34.6670052869,-58.4519081731,0
529,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-34.6724792501,-58.4580576427,0
530,"ESCALADA AV.&&FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-34.67315219,-58.4583636596,0
533,"ESCALADA AV.&&ROCA, CNEL. AV.",-34.6795893037,-58.4503033088,0
535,"CHORROARIN AV.&&COMBATIENTES DE MALVINAS AV.",-34.5869844573,-58.4707855091,0
548,"JUSTO, JUAN B. AV.&&VIRGILIO",-34.6329248429,-58.5018644255,0
549,"DEL LIBERTADOR AV.&&SOLDADO DE LA INDEPENDENCIA",-34.5617183157,-58.4433711046,0
566,"AEROLINEAS ARGENTINAS&&OBLIGADO RAFAEL, AV.COSTANE",-34.5549669699,-58.4165424811,0
580,"SIN NOMBRE OFICIAL (ALT. AV RAFAEL OBLIGADO 1170)",-34.5742150102,-58.3895117661,0
587,"ANTARTIDA ARGENTINA AV.&&RAMOS MEJIA, JOSE MARIA, ",-34.5892170167,-58.3710117664,0
601,"NAZCA",-34.5758904305,-58.5117949768,0
617,"PAZ, GRAL. AV.",-34.5741151442,-58.5109567505,0
620,"CANTILO, INT.&&PAZ, GRAL. AV.",-34.5342807585,-58.4631612907,0
622,"PAZ, GRAL. AV.",-34.5347672247,-58.4657955052,0
628,"DEL LIBERTADOR AV.&&PAZ, GRAL. AV.",-34.535842721,-58.4668076234,0
633,"COLECTORA CANTILO, INT.",-34.5369282274,-58.4593096416,0
636,"DEHEZA&&DEL LIBERTADOR AV.",-34.5374891264,-58.4658086068,0
640,"CUBA&&PAZ, GRAL. AV.",-34.5383609591,-58.4731673919,0
645,"ARIAS&&DEL LIBERTADOR AV.",-34.5382968325,-58.4653095941,0
652,"CANTILO, INT.",-34.5395394027,-58.4548098623,0
662,"CORREA&&DEL LIBERTADOR AV.",-34.5398812515,-58.464330262,0
664,"CRAMER&&PAZ, GRAL. AV.",-34.5406999805,-58.478484471,0
687,"DEHEZA&&SAN ISIDRO LABRADOR AV.",-34.5417000133,-58.4743477536,0
692,"11 DE SEPTIEMBRE DE 1888&&BESARES",-34.5418461616,-58.4641688412,0
714,"DEL LIBERTADOR AV.&&VILELA",-34.5421132821,-58.4626028142,0
759,"DEL LIBERTADOR AV.&&JARAMILLO",-34.5439518217,-58.4606231118,0
817,"DEL LIBERTADOR AV.&&NUÑEZ",-34.5454028648,-58.4589252251,0
836,"BESARES&&VIDAL",-34.5465099213,-58.4745010937,0
877,"DEL LIBERTADOR AV.&&PEDRAZA, MANUELA",-34.5467202925,-58.4572946115,0
899,"11 DE SEPTIEMBRE DE 1888&&PEDRAZA, MANUELA",-34.5479284448,-58.459709822,0
920,"FIGUEROA ALCORTA, PRES. AV.&&MONROE",-34.5477745571,-58.4421936362,0
925,"RICCHERI, PABLO, TTE. GRAL.&&UDAONDO, GUILLERMO AV",-34.5483142535,-58.4536645552,0
927,"ACHA, MARIANO, GRAL.&&PAZ, GRAL. AV.",-34.5483887403,-58.4958778394,0
928,"MACHAIN&&PAZ, GRAL. AV.",-34.5479558152,-58.4949105472,0
938,"DEL LIBERTADOR AV.&&GUAYRA",-34.548039041,-58.4557409725,0
940,"GOYENECHE, ROBERTO PARQUE AV.&&PICO",-34.5485698494,-58.4923367293,0
952,"PINTO&&VILELA",-34.5487259171,-58.4782038661,0
966,"DONADO&&PICO",-34.5488984385,-58.492965485,0
971,"MACHAIN&&MONTES, VICTORIANO E.",-34.5489997616,-58.4941719084,0
992,"DEHEZA&&HOLMBERG",-34.5492073818,-58.4915123769,0
995,"MILLER&&PAZ, GRAL. AV.",-34.5492356944,-58.4978107438,0
1001,"DEL LIBERTADOR AV.&&HERNANDEZ, RAFAEL",-34.5494053036,-58.4541585962,0
1005,"O'HIGGINS&&PEDRAZA, MANUELA",-34.5492715547,-58.4623950788,0
1043,"AMENABAR&&LARRALDE, CRISOLOGO AV.",-34.5500550461,-58.4701577872,0
1066,"ARIAS&&DONADO",-34.5504675423,-58.4918597276,0
1089,"HOLMBERG&&RAMALLO",-34.5507775981,-58.4904116102,0
1096,"ARIAS&&MACHAIN",-34.5509613451,-58.49279769,0
1111,"DEHEZA&&LUGONES",-34.5511518039,-58.4951922944,0
1127,"FIGUEROA ALCORTA, PRES. AV.&&JURAMENTO",-34.5506588794,-58.4375663451,0
1130,"ACHA, MARIANO, GRAL.&&ARIAS",-34.5514480318,-58.4937192337,0
1131,"CRAMER&&LARRALDE, CRISOLOGO AV.",-34.5514635015,-58.4727038689,0
1142,"ECHEVERRIA&&FIGUEROA ALCORTA, PRES. AV.",-34.5516102747,-58.4367428165,0
1169,"BALBIN, RICARDO, DR. AV.&&PAZ, GRAL. AV.",-34.5520455592,-58.5006496645,0
1172,"NAON, ROMULO&&VILELA",-34.5520917859,-58.4847332774,0
1202,"FIGUEROA ALCORTA, PRES. AV.&&SUCRE, ANTONIO JOSE D",-34.5525464562,-58.4359345099,0
1222,"LARRALDE, CRISOLOGO AV.&&PINTO",-34.5527900145,-58.475102007,0
1230,"DONADO&&RUIZ HUIDOBRO AV.",-34.5527538511,-58.4902602042,0
1243,"BESARES&&HOLMBERG",-34.5531059599,-58.4887888461,0
1253,"ESTOMBA&&PAROISSIEN",-34.5533552062,-58.4850720271,0
1279,"CONDE&&LARRALDE, CRISOLOGO AV.",-34.5538083676,-58.4769412867,0
1287,"HOLMBERG&&VILELA",-34.5539024304,-58.4882369305,0
1303,"GOYENECHE, ROBERTO PARQUE AV.&&VILELA",-34.5542068879,-58.4888508924,0
1317,"MANZANARES&&NAON, ROMULO",-34.5544066443,-58.4829651147,0
1320,"ALSINA, VALENTIN AV.&&FIGUEROA ALCORTA, PRES. AV.",-34.5539541175,-58.4341181016,0
1340,"LARRALDE, CRISOLOGO AV.&&PEREZ, ROQUE",-34.5548221164,-58.4787720985,0
