,stop_id,stop_name,stop_lat,stop_lon,location_type
746,6333,DIAZ VELEZ AV.&&MEDRANO AV.,-34.6085705397,-58.4215398881,0
1008,8562,BARCO CENTENERA DEL&&HUALFIN,-34.6238426289,-58.4407453489,0
1301,10559,BALBASTRO&&CACHIMAYO,-34.6376598305,-58.436311641,0
1357,10866,CACHIMAYO&&ZAÑARTU,-34.6397887632,-58.4355486191,0
1405,11321,"COBO AV.&&MARTINEZ, VICTOR",-34.6428270952,-58.437786459,0
1419,11384,COBO AV.&&PUAN,-34.6433796798,-58.4405005378,0
2717,20813,Paraguay,-34.5966695972,-58.3720783848,0
3015,1000399,LAVALLE 2093,-34.6032448216,-58.3967954429,0
3016,1000400,LAVALLE 2233,-34.6032798421,-58.3987789517,0
3022,1000406,LAVALLE 2479,-34.6033928011,-58.4018034027,0
3024,1000408,LAVALLE 2753,-34.6032324267,-58.405640226,0
3028,1000413,LAVALLE 2977,-34.602929934,-58.4081620348,0
3030,1000415,LAVALLE 3093,-34.6025573371,-58.409611733,0
3661,1001254,RIVADAVIA AV. 4279,-34.6134947187,-58.4258172818,0
3669,1001264,RIVADAVIA AV. 4043,-34.6121928685,-58.4228680695,0
3714,1001322,RIVADAVIA AV. 4451,-34.6146440024,-58.4284117146,0
3818,1001487,"BOCAYUVA, QUINTINO 4",-34.6126938433,-58.4235135268,0
3831,1001507,CORDOBA AV. 827,-34.5988445923,-58.3787305334,0
3882,1001579,CORDOBA AV. 435,-34.5984756744,-58.37337479,0
3988,1001713,URUGUAY AV. 782,-34.5996066788,-58.3868601164,0
3992,1001717,CORDOBA AV. 1167,-34.5990615133,-58.3837124384,0
4132,1001878,LAVALLE 1785,-34.6031021044,-58.3921042436,0
4137,1001883,LAVALLE 1459,-34.6028030632,-58.3874224231,0
4275,1002056,LAVALLE 3495,-34.6007860855,-58.4149443332,0
4276,1002057,LAVALLE 3687,-34.5999588457,-58.4175669807,0
4277,1002058,LAVALLE 3891,-34.5990161837,-58.4200009662,0
4697,1002565,MEDRANO AV. 812,-34.6005436862,-58.4206659508,0
4699,1002567,MEDRANO AV. 622,-34.602784531,-58.4209751795,0
4703,1002573,MEDRANO AV. 456,-34.6057013843,-58.4213408184,0
4705,1002576,MEDRANO AV. 18,-34.6111968967,-58.4211334141,0
4909,1002879,Parada sin nombre,-34.589636,-58.370079,0
5063,1003047,BARCO CENTENERA DEL 633,-34.6268682074,-58.4408548259,0
5117,1003142,CACHIMAYO 1995,-34.6420974846,-58.4347794902,0
5119,1003144,PICHEUTA 1443,-34.6358416192,-58.43536401,0
5120,1003145,BARCO CENTENERA DEL 1293,-34.6342505597,-58.4360193691,0
5121,1003146,BARCO CENTENERA DEL 1093,-34.6319684178,-58.4375247879,0
5153,1003179,BARCO CENTENERA DEL 165,-34.621559283,-58.4410532832,0
5280,1003321,RIVADAVIA AV. 5069,-34.6185854693,-58.4373050944,0
5500,1003564,RIVADAVIA AV. 4817,-34.6167120405,-58.43309553,0
8228,1006907,"PY, COMODORO AV. 2002",-34.5878229032,-58.3686793161,0
8258,1006938,Parada sin nombre,-34.589153,-58.372513,0
8324,1007011,"RAMOS MEJIA, JOSE MARIA, DR. AV. 1358",-34.5917563423,-58.3745265793,0
8607,1107101,BARCO CENTENERA DEL 793,-34.6287209915,-58.4396834698,0
8654,1107148,COREA AV. 1774,-34.6431821377,-58.4436384426,0
8655,1107149,RIVADAVIA AV. 4551,-34.6151253673,-58.4295061669,0
8656,1107150,LAVALLE 3293,-34.6016034303,-58.412464222,0
8660,1107154,"PY, COMODORO AV. 2290",-34.586739768,-58.3674894616,0
