,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
16486,8787,-34.5853800203,-58.3665667573,1
16487,8787,-34.5862513431,-58.3672733358,2
16488,8787,-34.5876184797,-58.3683634627,3
16489,8787,-34.5884094318,-58.3690343846,4
16490,8787,-34.5886064599,-58.3691884513,5
16491,8787,-34.5903137144,-58.3705844181,6
16492,8787,-34.5900034755,-58.3707048873,7
16493,8787,-34.5893524358,-58.3709493633,8
16494,8787,-34.5892170628,-58.3710117327,9
16495,8787,-34.5878229346,-58.3715092245,10
16496,8787,-34.5888046857,-58.3722309499,11
16497,8787,-34.5901134019,-58.3732638893,12
16498,8787,-34.5911198844,-58.3741614121,13
16499,8787,-34.592655606,-58.3754439586,14
16500,8787,-34.5935677672,-58.373842229,15
16501,8787,-34.5947069011,-58.3730378842,16
16502,8787,-34.5954937698,-58.3726267347,17
16503,8787,-34.5966695972,-58.3720783848,18
16504,8787,-34.5977595115,-58.3715902926,19
16505,8787,-34.5982650927,-58.3714021624,20
16506,8787,-34.5984159536,-58.3714884105,21
16507,8787,-34.598514172,-58.3727963553,22
16508,8787,-34.5986223154,-58.37419562,23
16509,8787,-34.5987042858,-58.3753720365,24
16510,8787,-34.5987952759,-58.3767859808,25
16511,8787,-34.5987982895,-58.3768400215,26
16512,8787,-34.5988852923,-58.3779909479,27
16513,8787,-34.5989082087,-58.3782719344,28
16514,8787,-34.5989722136,-58.3796949048,29
16515,8787,-34.5989682836,-58.3797488627,30
16516,8787,-34.5989652517,-58.3797978739,31
16517,8787,-34.5990192472,-58.3811107902,32
16518,8787,-34.599015262,-58.3812178028,33
16519,8787,-34.5990502453,-58.3816227832,34
16520,8787,-34.5990812333,-58.3821228168,35
16521,8787,-34.5990892577,-58.382530745,36
16522,8787,-34.5991594052,-58.3840323218,37
16523,8787,-34.5992269549,-58.3854753595,38
16524,8787,-34.5992894191,-58.3868094795,39
16525,8787,-34.600579657,-58.3867082275,40
16526,8787,-34.6005849221,-58.3867939841,41
16527,8787,-34.6016512119,-58.3866855973,42
16528,8787,-34.6017272121,-58.3866786032,43
16529,8787,-34.6027692509,-58.3866351558,44
16530,8787,-34.6027842136,-58.3867725957,45
16531,8787,-34.6029022037,-58.387884531,46
16532,8787,-34.6029062158,-58.3879575485,47
16533,8787,-34.6029171653,-58.3880225562,48
16534,8787,-34.6030092431,-58.3893904521,49
16535,8787,-34.6030091948,-58.3894594266,50
16536,8787,-34.6030132077,-58.3895354119,51
16537,8787,-34.6030852194,-58.3908464042,52
16538,8787,-34.6030851839,-58.3909384003,53
16539,8787,-34.6030932537,-58.3910153714,54
16540,8787,-34.6030961838,-58.3910913578,55
16541,8787,-34.6031042601,-58.3911793901,56
16542,8787,-34.6031546087,-58.3923903942,57
16543,8787,-34.6031554828,-58.3927548881,58
16544,8787,-34.6032002414,-58.3939112246,59
16545,8787,-34.6032042517,-58.3939873002,60
16546,8787,-34.6032082601,-58.3940602284,61
16547,8787,-34.6032592037,-58.3953492125,62
16548,8787,-34.6032592466,-58.3954261908,63
16549,8787,-34.6032591948,-58.3954951655,64
16550,8787,-34.60328023,-58.3968571067,65
16551,8787,-34.6032812631,-58.396933095,66
16552,8787,-34.6032772478,-58.3970101664,67
16553,8787,-34.6033052596,-58.3982990814,68
16554,8787,-34.6033052099,-58.3983750706,69
16555,8787,-34.6033092179,-58.3984520458,70
16556,8787,-34.6033432133,-58.3994879897,71
16557,8787,-34.6033432515,-58.3995610112,72
16558,8787,-34.6033472582,-58.3996369973,73
16559,8787,-34.6034432679,-58.4008380037,74
16560,8787,-34.6034392496,-58.400913996,75
16561,8787,-34.6034432554,-58.4009899822,76
16562,8787,-34.6034312209,-58.402151952,77
16563,8787,-34.6034312595,-58.4022289304,78
16564,8787,-34.6034272403,-58.4023049226,79
16565,8787,-34.6034073018,-58.403553858,80
16566,8787,-34.6034072493,-58.4036308365,81
16567,8787,-34.6034072885,-58.4037108724,82
16568,8787,-34.603342262,-58.405161817,83
16569,8787,-34.6031773334,-58.4062517671,84
16570,8787,-34.6031733084,-58.4063207445,85
16571,8787,-34.6031622561,-58.4064006979,86
16572,8787,-34.60301627,-58.4073376636,87
16573,8787,-34.6030133264,-58.40740673,88
16574,8787,-34.603009304,-58.4074827215,89
16575,8787,-34.6029473282,-58.4083966969,90
16576,8787,-34.6029442973,-58.4084736769,91
16577,8787,-34.6029363073,-58.4085496709,92
16578,8787,-34.6025652788,-58.4097205861,93
16579,8787,-34.6025383526,-58.409792635,94
16580,8787,-34.6025153037,-58.4098655807,95
